Experiment -> WED
Endowment  ->   0.00
Chance to play computer ->   0.10%
(Left = 0 ; Right = 1)
Round    Subj   Part    Subj Choice  Part Choice    Pay off   Tot Earn
  23      9      1          1            0             0.12       1.00
  23     10      7          1            1             0.04       1.00
  23     11     12          0            1             0.00       1.31
  23     12     11          1            0             0.12       1.21
  24      1      9          1            1             0.04       1.26
  24      2      6          1            1             0.04       1.28
  24      3      4          1            1             0.04       1.20
  24      4      3          1            1             0.04       1.12
  24      5      8          1            0             0.12       1.21
  24      6      2          1            1             0.04       1.29
  24      7     10          1            1             0.04       1.28
  24      8      5          0            1             0.00       0.92
  24      9      1          1            1             0.04       1.04
  24     10      7          1            1             0.04       1.04
  24     11     12          1            0             0.12       1.43
  24     12     11          0            1             0.00       1.21
  25      1      9          1            1             0.04       1.30
  25      2      6          1            1             0.04       1.32
  25      3      4          1            1             0.04       1.24
  25      4      3          1            1             0.04       1.16
  25      5      8          1            1             0.04       1.25
  25      6      2          1            1             0.04       1.33
  25      7     10          1            1             0.04       1.32
  25      8      5          1            1             0.04       0.96
  25      9      1          1            1             0.04       1.08
  25     10      7          1            1             0.04       1.08
  25     11     12          1            0             0.12       1.55
  25     12     11          0            1             0.00       1.21
  26      1      9          0            1             0.00       1.30
  26      2      6          1            1             0.04       1.36
  26      3      4          1            0             0.12       1.36
  26      4      3          0            1             0.00       1.16
  26      5      8          1            1             0.04       1.29
  26      6      2          1            1             0.04       1.37
  26      7     10          1            1             0.04       1.36
  26      8      5          1            1             0.04       1.00
  26      9      1          1            0             0.12       1.20
  26     10      7          1            1             0.04       1.12
  26     11     12          1            1             0.04       1.59
  26     12     11          1            1             0.04       1.25
  27      1      9          1            1             0.04       1.34
  27      2      6          1            1             0.04       1.40
  27      3      4          0            0             0.07       1.43
  27      4      3          0            0             0.07       1.23
  27      5      8          0            1             0.00       1.29
  27      6      2          1            1             0.04       1.41
  27      7     10          1            1             0.04       1.40
  27      8      5          1            0             0.12       1.12
  27      9      1          1            1             0.04       1.24
  27     10      7          1            1             0.04       1.16
  27     11     12          1            1             0.04       1.63
  27     12     11          1            1             0.04       1.29
  28      1      9          1            1             0.04       1.38
  28      2      6          1            1             0.04       1.44
  28      3      4          0            0             0.07       1.50
  28      4      3          0            0             0.07       1.30
  28      5      8          0            0             0.07       1.36
  28      6      2          1            1             0.04       1.45
  28      7     10          1            1             0.04       1.44
  28      8      5          0            0             0.07       1.19
  28      9      1          1            1             0.04       1.28
  28     10      7          1            1             0.04       1.20
  28     11     12          1            1             0.04       1.67
  28     12     11          1            1             0.04       1.33
  29      1      9          1            1             0.04       1.42
  29      2      6          1            1             0.04       1.48
  29      3      4          0            0             0.07       1.57
  29      4      3          0            0             0.07       1.37
  29      5      8          1            0             0.12       1.48
  29      6      2          1            1             0.04       1.49
  29      7     10          1            1             0.04       1.48
  29      8      5          0            1             0.00       1.19
  29      9      1          1            1             0.04       1.32
  29     10      7          1            1             0.04       1.24
  29     11     12          1            1             0.04       1.71
  29     12     11          1            1             0.04       1.37
  30      1      9          1            1             0.04       1.46
  30      2      6          1            1             0.04       1.52
  30      3      4          1            0             0.12       1.69
  30      4      3          0            1             0.00       1.37
  30      5      8          1            1             0.04       1.52
  30      6      2          1            1             0.04       1.53
  30      7     10          1            1             0.04       1.52
  30      8      5          1            1             0.04       1.23
  30      9      1          1            1             0.04       1.36
  30     10      7          1            1             0.04       1.28
  30     11     12          0            1             0.00       1.71
  30     12     11          1            0             0.12       1.49
  31      1      5          0            1             0.00       1.46
  31      2     10          1            0             0.12       1.64
  31      3     12          1            0             0.12       1.81
  31      4      7          0            1             0.00       1.37
  31      5      1          1            0             0.12       1.64
  31      6      8          0            1             0.00       1.53
  31      7      4          1            0             0.12       1.64
  31      8      6          1            0             0.12       1.35
  31      9     11          1            0             0.12       1.48
  31     10      2          0            1             0.00       1.28
  31     11      9          0            1             0.00       1.71
  31     12      3          0            1             0.00       1.49
  32      1      5          1            1             0.04       1.50
  32      2     10          1            1             0.04       1.68
  32      3     12          0            1             0.00       1.81
  32      4      7          0            0             0.07       1.44
  32      5      1          1            1             0.04       1.68
  32      6      8          1            0             0.12       1.65
  32      7      4          0            0             0.07       1.71
  32      8      6          0            1             0.00       1.35
  32      9     11          1            1             0.04       1.52
  32     10      2          1            1             0.04       1.32
  32     11      9          1            1             0.04       1.75
  32     12      3          1            0             0.12       1.61
  33      1      5          0            0             0.07       1.57
  33      2     10          1            1             0.04       1.72
  33      3     12          0            0             0.07       1.88
  33      4      7          0            0             0.07       1.51
  33      5      1          0            0             0.07       1.75
  33      6      8          0            1             0.00       1.65
  33      7      4          0            0             0.07       1.78
  33      8      6          1            0             0.12       1.47
  33      9     11          1            1             0.04       1.56
  33     10      2          1            1             0.04       1.36
  33     11      9          1            1             0.04       1.79
  33     12      3          0            0             0.07       1.68
  34      1      5          0            1             0.00       1.57
  34      2     10          1            1             0.04       1.76
  34      3     12          0            0             0.07       1.95
  34      4      7          0            0             0.07       1.58
  34      5      1          1            0             0.12       1.87
  34      6      8          0            0             0.07       1.72
  34      7      4          0            0             0.07       1.85
  34      8      6          0            0             0.07       1.54
  34      9     11          1            1             0.04       1.60
  34     10      2          1            1             0.04       1.40
